"STT","Website","Traffic","Minh Họa","Link Tham Khảo","type","tier","usefulness_for_tracking"
"1","Coingecko News","","","https://www.coingecko.com/en/news","hybrid","Tier 1","5"
"2","Crypto Panic","","","https://cryptopanic.com/","aggregator","Tier 1","5"
"3","Tree News","","","https://news.treeofalpha.com/","aggregator","Tier 2","5"
"4","PhoenixNews","","Co Filter","https://phoenixnews.io/","aggregator","Tier 2","4"
"5","Kucoin News","","","https://www.kucoin.com/news/flash/bitcoin-drops-7-as-asian-markets-open-amid-trump-s-fed-pick-signal","hybrid","Tier 2","3"
"6","Yahoo Finance","","","https://finance.yahoo.com/news/","news site","Tier 1","3"
"7","Messari","","","https://messari.io/news/all","hybrid","Tier 1","4"
"8","Cryptonews","","","https://cryptonews.net/","aggregator","Tier 2","4"
"9","Coinspectator","","","https://coinspectator.com/","aggregator","Tier 2","4"
"10","CoinStats","","","https://coinstats.app/news/","hybrid","Tier 2","4"
"11","Coincarp","","","https://www.coincarp.com/news/","hybrid","Tier 2","3"
"12","Crypto Compare","","","https://www.cryptocompare.com/news/list/latest/","hybrid","Tier 2","4"
"13","Coinlore","","","https://www.coinlore.com/crypto-news/","dashboard/tool","Tier 2","3"
"14","Drops Tab","","","https://dropstab.com/news","dashboard/tool","Tier 2","4"
"15","Block Chair","","","https://blockchair.com/news","dashboard/tool","Tier 2","3"
"16","Phemex","","","https://phemex.com/news","hybrid","Tier 2","3"
"17","Crypto Reach","","","https://cryptoreach.io/","aggregator","Tier 3","3"
"18","CoinFi","","","https://www.coinfi.com/news","hybrid","Tier 2","4"
"19","Finsuba","","","https://www.finsuba.com/us-crypto/news/","aggregator","Tier 3","2"
"20","Poloniex","","","https://www.poloniex.com/feed/news/2","hybrid","Tier 2","3"
"21","CoinMarketCap Top Stories","","","https://coinmarketcap.com/top-stories/","hybrid","Tier 1","5"
"22","Investing.com Crypto News","","","https://www.investing.com/news/cryptocurrency-news","news site","Tier 1","4"
"23","TradingView Crypto News","","","https://www.tradingview.com/news/crypto/all/","hybrid","Tier 1","5"
"24","NewsNow Crypto","","","https://www.newsnow.co.uk/h/Business%2B%26%2BFinance/Cryptocurrencies","aggregator","Tier 1","4"
"25","OKX Feed","","","https://www.okx.com/en-us/feed","hybrid","Tier 2","4"
"26","Binance Square","","","https://www.binance.com/en/square","hybrid","Tier 1","4"
"27","Bitget News","","","https://www.bitget.com/news","hybrid","Tier 2","3"
"28","Gate News","","","https://www.gate.com/news","hybrid","Tier 2","3"
"29","MEXC News","","","https://www.mexc.com/news","hybrid","Tier 2","3"
"30","FXStreet Cryptocurrencies","","","https://www.fxstreet.com/cryptocurrencies/","hybrid","Tier 1","4"
"31","CryptoEye Aggregated News","","","https://cryptoeye.org/crypto-aggregated-news","aggregator","Tier 3","3"
"32","Sharpe AI News Aggregator","","","https://sharpe.ai/news-aggregator","aggregator","Tier 3","3"
"33","Pineify Crypto News","","","https://pineify.app/crypto-news","dashboard/tool","Tier 3","3"
"34","BlockThriver All News","","","https://blockthriver.com/all-news/","aggregator","Tier 3","3"
"35","CoinPerps News Aggregator","","","https://www.coinperps.com/news-aggregator","hybrid","Tier 3","3"
"36","Crypto Feed","","","https://crypto-feed.com/search","aggregator","Tier 3","3"
"37","CryptoRival News","","","https://cryptorival.com/news/","hybrid","Tier 3","3"
"38","Coinlib News","","","https://coinlib.io/news/Crypto","hybrid","Tier 2","3"
"39","CoinGlass News","","","https://www.coinglass.com/news","hybrid","Tier 1","4"
"40","MarketScreener Cryptocurrencies News","","","https://www.marketscreener.com/news/cryptocurrencies/","news site","Tier 2","3"
"41","Decrypt","","","https://decrypt.co/news","news site","Tier 1","4"
"42","BeInCrypto","","","https://beincrypto.com/type/news/","news site","Tier 1","4"
"43","Crypto Briefing","","","https://cryptobriefing.com/news/","news site","Tier 2","3"
"44","CryptoSlate News","","","https://cryptoslate.com/news/","hybrid","Tier 1","4"
"45","Blockworks News Archive","","","https://blockworks.com/news/archive","news site","Tier 1","4"
"46","TokenInsight News","","","https://tokeninsight.com/en/news","hybrid","Tier 2","4"
"47","Coinness","","","https://coinness.com/news/","aggregator","Tier 2","4"
"48","Bitcoin.com News","","","https://news.bitcoin.com/","news site","Tier 1","3"
"49","Cointelegraph Cryptocurrencies","","","https://cointelegraph.com/tags/cryptocurrencies","news site","Tier 1","4"
"50","NewsBTC","","","https://www.newsbtc.com/news/","news site","Tier 2","3"
"51","CoinSpeaker News","","","https://www.coinspeaker.com/news/","news site","Tier 2","3"
"52","CoinEdition News","","","https://coinedition.com/news/","news site","Tier 2","3"
"53","The Daily Hodl","","","https://dailyhodl.com/","news site","Tier 2","3"
"54","CoinCodex Coin News Feeds","","","https://coincodex.com/crypto/bitcoin/news/","hybrid","Tier 2","4"
"55","CoinCheckup News","","","https://coincheckup.com/news","hybrid","Tier 2","3"
"56","DL News","","","https://www.dlnews.com/","news site","Tier 2","3"
"57","AMBCrypto","","","https://eng.ambcrypto.com/","news site","Tier 2","3"
"58","Protos","","","https://protos.com/","news site","Tier 2","3"
"59","The Defiant DeFi Daily","","","https://thedefiant.io/newsletter/defi-daily/","news site","Tier 2","3"
"60","CryptoPotato Crypto News","","","https://cryptopotato.com/crypto-news/","news site","Tier 2","3"
